"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07381506159309491,"-",295654097,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.06982615464304998,"-",90105812,"USD"
"AAPL","APPLE INC","037833100","2046251",0.05933668778298163,"-",181068223,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03920753618174589,"-",114543654,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.029598243549554155,"-",26320147,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02417469340351693,"-",56999420,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.019195255056672904,"-",70551430,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.016561425220146045,"-",22228524,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.015785424010366554,"-",33968463,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.015554645465775127,"-",56909398,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014864992955504128,"-",33687984,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.011570386603286036,"-",9534919,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.011474083415836056,"-",20739548,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.010265381162579858,"-",5158439,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.009308463617847726,"-",52240702,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008616876066834592,"-",9831498,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008272578456850291,"-",5377657,"USD"
"WMT","WALMART INC","931142103","2936921",0.007933567298378007,"-",52366405,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0072132832926477715,"-",19712831,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007089161400920423,"-",29161805,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.007000987379474765,"-",28416022,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.006908055551668296,"-",12046403,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006339402934401511,"-",21408183,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.0058429153674921155,"-",79415771,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005619996679111007,"-",25779064,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.00527845201368768,"-",10993540,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.005231133285436752,"-",18863322,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.0051601152953131,"-",48212302,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0051451935378376825,"-",46943589,"USD"
